model,prior_prompt,ranking_score,target_source,intent_instruction,intent_reason,intent_candidate_ids,intent_vlm_decision,scene_key,scene_id,target_id,target_label,is_query_target,annotation,branch,grasp_id,grasp_label,is_terminal,reason,status,cl_success,cl_num_steps,cl_final_status,cl_action_seq,cl_reason_seq
gpt-4o,original,theory,all,,,,,scene_1094/perception,1094,1,object_1,False,the topmost box,partially_occluded,2,object_2,False,"target molmo_id=1 (node_id=0) is in graph, occluded by molmo_id=[2, 3]",ok,True,3,target_grasped,2 -> 3 -> 1,"selected mid=2 (object_2)  vlm_reason=Object 2 directly covers the target (object 1) and also presses other objects, making it the primary occluder. Object 3 also directly covers the target but is slightly less dominant in the occlusion chain compared to object 2.  candidates:    mid=2: P_s=0.950 P_g=0.0026 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=3 (object_3)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=3: P_s=1.000 P_g=0.0092 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_1094/perception,1094,2,object_2,False,the topmost box,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_1094/perception,1094,3,object_3,False,the topmost box,partially_occluded,2,object_2,False,"target molmo_id=3 (node_id=2) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 3,"selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0125 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_1094/perception,1094,4,object_4,True,the topmost box,partially_occluded,2,object_2,False,"target molmo_id=4 (node_id=3) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 4,"selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0149 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_1094/perception,1094,5,object_5,False,the topmost box,fully_visible,5,object_5,True,"target molmo_id=5 (node_id=4) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,5,"target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_125/perception,125,1,object_1,False,the juice on top,fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1,"target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_125/perception,125,2,object_2,False,the juice on top,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_125/perception,125,3,object_3,True,the juice on top,fully_visible,3,object_3,True,"target molmo_id=3 (node_id=2) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,3,"target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_125/perception,125,4,object_4,False,the juice on top,fully_visible,4,object_4,True,"target molmo_id=4 (node_id=3) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,4,"target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-4o,original,theory,all,,,,,scene_125/perception,125,5,object_5,False,the juice on top,partially_occluded,2,object_2,False,"target molmo_id=5 (node_id=4) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 5,"selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0141 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=5 (object_5) is fully visible, directly graspable"
