model,prior_prompt,ranking_score,target_source,intent_instruction,intent_reason,intent_candidate_ids,intent_vlm_decision,scene_key,scene_id,target_id,target_label,is_query_target,annotation,branch,grasp_id,grasp_label,is_terminal,reason,status,cl_success,cl_num_steps,cl_final_status,cl_action_seq,cl_reason_seq
gpt-5.5,original,legacy,all,,,,,scene_1094/perception,1094,1,object_1,False,the topmost box,partially_occluded,2,object_2,False,"target molmo_id=1 (node_id=0) is in graph, occluded by molmo_id=[2, 3]",ok,True,3,target_grasped,2 -> 3 -> 1,"selected mid=2 (object_2)  vlm_reason=Both candidates directly cover target object_1. Object_2 is especially important because it directly occludes object_1 and also lies on top of object_3, which is another direct occluder. Object_3 also directly blocks part of object_1, so it receives a high score despite being partially covered by object_2.  candidates:    mid=2: P_s=0.960 P_g=0.0026 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=3 (object_3)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=3: P_s=1.000 P_g=0.0092 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_1094/perception,1094,2,object_2,False,the topmost box,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_1094/perception,1094,3,object_3,False,the topmost box,partially_occluded,2,object_2,False,"target molmo_id=3 (node_id=2) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 3,"selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0125 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_1094/perception,1094,4,object_4,True,the topmost box,partially_occluded,2,object_2,False,"target molmo_id=4 (node_id=3) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 4,"selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0149 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_1094/perception,1094,5,object_5,False,the topmost box,fully_visible,5,object_5,True,"target molmo_id=5 (node_id=4) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,5,"target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_125/perception,125,1,object_1,False,the juice on top,fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1,"target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_125/perception,125,2,object_2,False,the juice on top,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_125/perception,125,3,object_3,True,the juice on top,fully_visible,3,object_3,True,"target molmo_id=3 (node_id=2) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,3,"target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_125/perception,125,4,object_4,False,the juice on top,fully_visible,4,object_4,True,"target molmo_id=4 (node_id=3) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,4,"target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_125/perception,125,5,object_5,False,the juice on top,partially_occluded,2,object_2,False,"target molmo_id=5 (node_id=4) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 5,"selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0141 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_125/perception,125,6,object_6,False,the juice on top,partially_occluded,2,object_2,False,"target molmo_id=6 (node_id=5) is in graph, occluded by molmo_id=[5]",ok,True,3,target_grasped,2 -> 5 -> 6,"selected mid=2 (object_2)  vlm_reason=Object 5 directly covers/blocks target 6 and is the immediate occluder, so it receives a high score. Object 2 sits above object 5 in the chain, indirectly occluding the target by covering/pressing the direct occluder, so it receives a moderate score.  candidates:    mid=2: P_s=0.620 P_g=0.0002 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=5 (object_5)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=5: P_s=1.000 P_g=0.0155 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=6 (object_6) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,1,object_1,False,the grey box,partially_occluded,8,object_8,False,"target molmo_id=1 (node_id=0) is in graph, occluded by molmo_id=[4, 5]",ok,True,4,target_grasped,8 -> 5 -> 4 -> 1,"selected mid=8 (object_8)  vlm_reason=Objects 4 and 5 directly occlude target 1, with 5 covering a larger lower portion and also covering 4. Object 8 does not directly touch the target but is an indirect occluder through 8->5->1, so it has moderate chain importance.  candidates:    mid=8: P_s=0.620 P_g=0.0002 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=5 (object_5)  vlm_reason=Both candidates directly cover the target object 1. Object 5 is slightly more important because it directly blocks object 1 and also covers object 4, adding chain pressure over another direct occluder.  candidates:    mid=5: P_s=0.970 P_g=0.0173 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=4 (object_4)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=4: P_s=1.000 P_g=0.0331 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,2,object_2,False,the grey box,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,3,object_3,False,the grey box,partially_occluded,8,object_8,False,"target molmo_id=3 (node_id=2) is in graph, occluded by molmo_id=[7]",ok,True,4,target_grasped,8 -> 6 -> 7 -> 3,"selected mid=8 (object_8)  vlm_reason=VLM response could not be parsed; used fallback scores.  candidates:    mid=8: P_s=0.500 P_g=0.0002 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=6 (object_6)  vlm_reason=Object 7 is the immediate occluder of target 3 per the relation 7 -> 3, so it is highly important. Object 6 covers object 7, making it an indirect occluder in the chain to the target, so it has moderate importance.  candidates:    mid=6: P_s=0.600 P_g=0.0000 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=7 (object_7)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=7: P_s=1.000 P_g=0.0061 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,4,object_4,False,the grey box,partially_occluded,8,object_8,False,"target molmo_id=4 (node_id=3) is in graph, occluded by molmo_id=[5]",ok,True,3,target_grasped,8 -> 5 -> 4,"selected mid=8 (object_8)  vlm_reason=Object 5 directly covers the target object 4, making it the immediate occluder. Object 8 does not directly cover 4 but covers object 5, which is the direct occluder, so it is an indirect chain occluder with moderate importance.  candidates:    mid=8: P_s=0.620 P_g=0.0014 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=5 (object_5)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=5: P_s=1.000 P_g=0.0974 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,5,object_5,False,the grey box,partially_occluded,8,object_8,False,"target molmo_id=5 (node_id=4) is in graph, occluded by molmo_id=[8]",ok,True,2,target_grasped,8 -> 5,"selected mid=8 (object_8)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=8: P_s=1.000 P_g=0.0142 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,6,object_6,False,the grey box,partially_occluded,8,object_8,False,"target molmo_id=6 (node_id=5) is in graph, occluded by molmo_id=[8]",ok,True,2,target_grasped,8 -> 6,"selected mid=8 (object_8)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=8: P_s=1.000 P_g=0.0188 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=6 (object_6) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,7,object_7,False,the grey box,partially_occluded,8,object_8,False,"target molmo_id=7 (node_id=6) is in graph, occluded by molmo_id=[6, 8]",ok,True,3,target_grasped,8 -> 6 -> 7,"selected mid=8 (object_8)  vlm_reason=Both candidates directly cover target 7 per the graph. Object 8 is the dominant front occluder, covering a large lower portion of 7 and also lying above 6, so it is maximally important. Object 6 also directly occludes 7 but appears to block a smaller side portion, so it is slightly lower but still high.  candidates:    mid=8: P_s=0.980 P_g=0.0376 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=6 (object_6)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=6: P_s=1.000 P_g=0.0067 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=7 (object_7) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,8,object_8,True,the grey box,fully_visible,8,object_8,True,"target molmo_id=8 (node_id=7) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,8,"target molmo_id=8 (object_8) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_184/perception,184,9,object_9,False,the grey box,fully_visible,9,object_9,True,"target molmo_id=9 (node_id=8) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,9,"target molmo_id=9 (object_9) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,1,object_1,False,the rightmost lemon,fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1,"target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,2,object_2,False,the rightmost lemon,partially_occluded,1,object_1,False,"target molmo_id=2 (node_id=1) is in graph, occluded by molmo_id=[1]",ok,True,2,target_grasped,1 -> 2,"selected mid=1 (object_1)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=1: P_s=1.000 P_g=0.0282 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,3,object_3,False,the rightmost lemon,partially_occluded,1,object_1,False,"target molmo_id=3 (node_id=2) is in graph, occluded by molmo_id=[2]",ok,True,3,target_grasped,1 -> 2 -> 3,"selected mid=1 (object_1)  vlm_reason=Object 2 is the immediate occluder directly covering/blocking target 3. Object 1 indirectly contributes by covering object 2, which is the direct occluder, so it has moderate chain importance.  candidates:    mid=1: P_s=0.620 P_g=0.0002 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || selected mid=2 (object_2)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=2: P_s=1.000 P_g=0.0087 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,4,object_4,False,the rightmost lemon,partially_occluded,6,object_6,False,"target molmo_id=4 (node_id=3) is in graph, occluded by molmo_id=[6]",ok,True,2,target_grasped,6 -> 4,"selected mid=6 (object_6)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=6: P_s=1.000 P_g=0.0182 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,5,object_5,False,the rightmost lemon,fully_visible,5,object_5,True,"target molmo_id=5 (node_id=4) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,5,"target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,6,object_6,True,the rightmost lemon,fully_visible,6,object_6,True,"target molmo_id=6 (node_id=5) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,6,"target molmo_id=6 (object_6) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_20/perception,20,7,object_7,False,the rightmost lemon,fully_visible,7,object_7,True,"target molmo_id=7 (node_id=6) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,7,"target molmo_id=7 (object_7) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_222/perception,222,1,object_1,False,the yogurt on the left,fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1,"target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_222/perception,222,2,object_2,False,the yogurt on the left,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_222/perception,222,3,object_3,False,the yogurt on the left,partially_occluded,5,object_5,False,"target molmo_id=3 (node_id=2) is in graph, occluded by molmo_id=[5]",ok,True,2,target_grasped,5 -> 3,"selected mid=5 (object_5)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=5: P_s=1.000 P_g=0.0042 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_222/perception,222,4,object_4,False,the yogurt on the left,partially_occluded,5,object_5,False,"target molmo_id=4 (node_id=3) is in graph, occluded by molmo_id=[5]",ok,True,2,target_grasped,5 -> 4,"selected mid=5 (object_5)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=5: P_s=1.000 P_g=0.0273 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_222/perception,222,5,object_5,False,the yogurt on the left,fully_visible,5,object_5,True,"target molmo_id=5 (node_id=4) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,5,"target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_222/perception,222,6,object_6,False,the yogurt on the left,fully_visible,6,object_6,True,"target molmo_id=6 (node_id=5) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,6,"target molmo_id=6 (object_6) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_298/perception,298,1,object_1,False,"I am thirstty, need the easiter grasp cup.",fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1,"target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_298/perception,298,2,object_2,True,"I am thirstty, need the easiter grasp cup.",partially_occluded,3,object_3,False,"target molmo_id=2 (node_id=1) is in graph, occluded by molmo_id=[3]",ok,True,2,target_grasped,3 -> 2,"selected mid=3 (object_3)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=3: P_s=1.000 P_g=0.0173 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_298/perception,298,3,object_3,False,"I am thirstty, need the easiter grasp cup.",fully_visible,3,object_3,True,"target molmo_id=3 (node_id=2) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,3,"target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_298/perception,298,4,object_4,False,"I am thirstty, need the easiter grasp cup.",partially_occluded,3,object_3,False,"target molmo_id=4 (node_id=3) is in graph, occluded by molmo_id=[3]",ok,True,2,target_grasped,3 -> 4,"selected mid=3 (object_3)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=3: P_s=1.000 P_g=0.0184 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=4 (object_4) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_298/perception,298,5,object_5,False,"I am thirstty, need the easiter grasp cup.",fully_visible,5,object_5,True,"target molmo_id=5 (node_id=4) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,5,"target molmo_id=5 (object_5) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_298/perception,298,6,object_6,False,"I am thirstty, need the easiter grasp cup.",partially_occluded,5,object_5,False,"target molmo_id=6 (node_id=5) is in graph, occluded by molmo_id=[5]",ok,True,2,target_grasped,5 -> 6,"selected mid=5 (object_5)  vlm_reason=single ancestor; assigned deterministic prior  candidates:    mid=5: P_s=1.000 P_g=0.0045 P=1.0000 IG=0.0000 G=1.000 best_part=None cost=0 score=0.0000 <-- selected || target molmo_id=6 (object_6) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_32/perception,32,1,object_1,False,I need fork.,fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1,"target molmo_id=1 (object_1) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_32/perception,32,2,object_2,False,I need fork.,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2,"target molmo_id=2 (object_2) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_32/perception,32,3,object_3,False,I need fork.,fully_visible,3,object_3,True,"target molmo_id=3 (node_id=2) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,3,"target molmo_id=3 (object_3) is fully visible, directly graspable"
gpt-5.5,original,legacy,all,,,,,scene_32/perception,32,4,object_4,False,I need fork.,fully_visible,4,object_4,True,"target molmo_id=4 (node_id=3) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,4,"target molmo_id=4 (object_4) is fully visible, directly graspable"
