model,algorithm,testcase,scene_id,query_obj_id,difficulty,ambiguous,split,instruction,intent_selected_id,intent_selected_object,branch,reason_grasp_id,reason_grasp_object,reason_status,selection_status,ground_truth_object_ids,predicted_perception_object_id,predicted_dataset_object_id,ssr_iou,rsr_success,status
gpt-4o,theory_original,01_hard_ambiguous,1072,6,Hard,True,0,the blue object among a banana and two other blue objects,6,blue dumbbell,partially_occluded,2,yellow banana with green tip,ok,completed,[4],2,4,0.42074831822983266,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1072,6,Hard,True,1,the bolt-like blue object attach to the bottom of the banana,9,blue dumbbell,partially_occluded,8,blue dumbbell,ok,completed,[4],8,5,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1072,6,Hard,True,2,the second blue object  from left to right at the top,6,blue dumbbell,partially_occluded,2,yellow banana with green tip,ok,completed,[4],2,4,0.42074831822983266,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1094,4,Hard,True,0,the topmost box,2,brown cardboard box with printed label,partially_occluded,4,brown cardboard box with printed label,ok,completed,[3],4,3,0.7085892469054144,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1094,4,Hard,True,1,the box package touching the top of the bin,2,brown cardboard box with printed label,partially_occluded,4,brown cardboard box with printed label,ok,completed,[3],4,3,0.7085892469054144,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1094,4,Hard,True,2,the topmost box,2,brown cardboard box with printed label,partially_occluded,4,brown cardboard box with printed label,ok,completed,[3],4,3,0.7085892469054144,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1101,5,Hard,True,0,the screwdriver under the box in the bottom left corner,6,black and blue screwdriver handle,partially_occluded,1,toothpaste box with red and green design,ok,completed,"[3, 8]",1,3,0.9914947235785163,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1101,5,Hard,True,1,the screwdriver with two elmex boxes leaning on top,6,black and blue screwdriver handle,partially_occluded,1,toothpaste box with red and green design,ok,completed,"[3, 8]",1,3,0.9914947235785163,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1101,5,Hard,True,2,the screwdriver that is pointing left,11,angled metal tool,partially_occluded,1,toothpaste box with red and green design,ok,completed,"[3, 8]",1,3,0.9914947235785163,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1109,0,Hard,True,0,the silver cube in the middle of the bin,2,folded silver metallic sheet,partially_occluded,1,blue and black handled screwdriver,ok,completed,[3],1,6,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1109,0,Hard,True,1,the white cap,8,blue and black handled screwdriver,partially_occluded,5,green toothpaste box,ok,completed,[3],5,3,0.9981954329274463,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1109,0,Hard,True,2,the white cube in the middle,2,folded silver metallic sheet,partially_occluded,1,blue and black handled screwdriver,ok,completed,[3],1,6,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1365,3,Hard,True,0,the propeller on the bottom,1,yellow three-blade propeller,fully_visible,1,yellow three-blade propeller,ok,completed,[2],1,2,0.8882274396350284,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1365,3,Hard,True,1,the yellow propeller underneath the lighter blister,1,yellow three-blade propeller,fully_visible,1,yellow three-blade propeller,ok,completed,[2],1,2,0.8882274396350284,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1365,3,Hard,True,2,the yellow propeller on bottom left under the boxes,1,yellow three-blade propeller,fully_visible,1,yellow three-blade propeller,ok,completed,[2],1,2,0.8882274396350284,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1365,0,Hard,True,0,the lighter package on the bottom,3,yellow handle-like object,partially_occluded,1,yellow propeller with three blades,ok,completed,[2],1,2,0.8882274396350284,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1365,0,Hard,True,1,the box under the box,3,yellow handle-like object,partially_occluded,1,yellow propeller with three blades,ok,completed,[2],1,2,0.8882274396350284,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1365,0,Hard,True,2,the lighters blister card underneath another blister,3,yellow handle-like object,partially_occluded,1,yellow propeller with three blades,ok,completed,[2],1,2,0.8882274396350284,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1383,1,Hard,True,0,the rightmost package with the picture of a cat,6,milk carton 2,partially_occluded,1,yellow lemon,ok,completed,"[0, 4, 9]",1,9,0.9962829342953974,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1383,1,Hard,True,1,the juice box behind the banana end the knife,6,milk carton 2,partially_occluded,2,light bulb 1,ok,completed,"[0, 4, 9]",2,4,0.9899190216493141,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1383,1,Hard,True,2,the tetrapack on the right,6,milk carton 2,partially_occluded,2,light bulb 1,ok,completed,"[0, 4, 9]",2,4,0.9899190216493141,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1394,5,Hard,True,0,the lamp on bottom center,8,light bulb with black and silver base,fully_visible,8,light bulb with black and silver base,ok,completed,[6],8,6,0.9313322950587569,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1394,5,Hard,True,1,the bulb on the left,9,light bulb with black and silver base,fully_visible,9,light bulb with black and silver base,ok,completed,[6],9,4,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1394,5,Hard,True,2,the middle lightbulb,9,light bulb with black and silver base,fully_visible,9,light bulb with black and silver base,ok,completed,[6],9,4,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1419,2,Hard,True,0,the green plastic bottle on the bottom left of the tray,,,fully_occluded,1,brown cardboard box,ok,completed,"[0, 5]",1,5,0.982560130198722,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1419,2,Hard,True,1,the green cylinder on the bottom,,,fully_occluded,1,brown cardboard box,ok,completed,"[0, 5]",1,5,0.982560130198722,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1419,2,Hard,True,2,the small object that is at the bottom left corner of the bin,5,small white and purple bottle,partially_occluded,1,brown cardboard box,ok,completed,"[0, 5]",1,5,0.982560130198722,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1449,4,Hard,True,0,the blue bolt-like object,8,blue plastic clip,partially_occluded,5,green carton box,ok,completed,[3],5,3,0.9913824057450629,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1449,4,Hard,True,1,the blue color cap,8,blue plastic clip,partially_occluded,5,green carton box,ok,completed,[3],5,3,0.9913824057450629,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1449,4,Hard,True,2,the blue screw,,,fully_occluded,5,green carton box,ok,completed,[3],5,3,0.9913824057450629,1,ok
gpt-4o,theory_original,01_hard_ambiguous,1556,1,Hard,True,0,the white cable in the plastic bag in the top left corner,1,white coiled wire in plastic bag,fully_visible,1,white coiled wire in plastic bag,ok,completed,[2],1,3,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1556,1,Hard,True,1,the plastic bag in the top left corner,1,white coiled wire in plastic bag,fully_visible,1,white coiled wire in plastic bag,ok,completed,[2],1,3,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1556,1,Hard,True,2,the top left transparent cover,1,white coiled wire in plastic bag,fully_visible,1,white coiled wire in plastic bag,ok,completed,[2],1,3,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1657,5,Hard,True,0,the wire cutter on top leaning on the top side of the box,6,red and yellow handled pliers,partially_occluded,4,pack of electronics accessories,ok,completed,"[6, 7]",4,10,7.003168933942608e-05,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1657,5,Hard,True,1,the cutting plier that is under the blue cap and other cutting pliers,6,red and yellow handled pliers,partially_occluded,4,pack of electronics accessories,ok,completed,"[6, 7]",4,10,7.003168933942608e-05,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1657,5,Hard,True,2,the plier on the top left corner,6,red and yellow handled pliers,partially_occluded,4,pack of electronics accessories,ok,completed,"[6, 7]",4,10,7.003168933942608e-05,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1703,3,Hard,True,0,the gray box on bottom left,7,white box,partially_occluded,8,white box,ok,completed,"[8, 10]",8,1,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1703,3,Hard,True,1,the white box in the bottom left corner,7,white box,partially_occluded,8,white box,ok,completed,"[8, 10]",8,1,0.0,0,ok
gpt-4o,theory_original,01_hard_ambiguous,1703,3,Hard,True,2,the white festo box below the wire cutter,8,white box,fully_visible,8,white box,ok,completed,"[8, 10]",8,1,0.0,0,ok
