model,prior_prompt,ranking_score,target_source,target_id,target_label,step,candidate_id,candidate_label,P_s,P_g,P,IG,IG_normalized,graspability,graspability_part_id,graspability_parts,cost,score_legacy,score_ig,score_ig_graspability,score_theory,score,vlm_reason,selected,scene_id,detail_file,reason_algorithm,run_dir
gpt-4o,original,legacy,all,1,object_1,1,2,object_2,0.95,0.002558927132,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 2 directly covers the target (object 1) and is the primary occluder, so it receives a high score. Object 3 also directly covers the target but is partially blocked by object 2, making it slightly less critical in the occlusion chain.",True,1094,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_1094.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,2,3,object_3,1.0,0.009159,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,1094,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_1094.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,1,2,object_2,1.0,0.012548,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,1094,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_1094.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,4,object_4,1,2,object_2,1.0,0.014864,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,1094,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_1094.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,5,object_5,1,2,object_2,1.0,0.01407,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,125,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_125.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,6,object_6,1,2,object_2,0.75,0.0002183523299999,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_5 directly covers the target (object_6), so it receives a high score. Object_2 indirectly contributes to the occlusion by pressing object_5 onto the target, earning a moderate-to-high score.",True,125,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_125.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,6,object_6,2,5,object_5,1.0,0.015519,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,125,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_125.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,1,8,object_8,0.75,0.0002460505175031,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_4 directly covers the target (object_1), so it receives the highest score. Object_5 also directly covers the target and presses object_4 onto it, so it is slightly less critical but still highly relevant. Object_8 indirectly contributes to the occlusion by covering object_5, which is a direct occluder of the target, making it moderately important.",True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,2,5,object_5,0.95,0.017344601544,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object_4 directly covers the target (object_1), so it is highly relevant. Object_5 also directly covers the target and additionally presses object_4 onto the target, making it slightly more important in the occlusion chain.",True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,1,object_1,3,4,object_4,1.0,0.033144,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,1,8,object_8,0.8,0.0002279059533406,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 7 directly covers the target (object 3), so it gets a high score (0.9). Object 6 presses on object 7, making it a strong indirect occluder, so it gets a score of 0.7. Object 8 presses on both objects 6 and 7, contributing significantly to the occlusion chain, so it gets a score of 0.8.",True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,2,6,object_6,0.7,4.0715637e-05,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 7 directly covers the target (object 3), making it the immediate occluder and highly relevant (score: 0.95). Object 6 covers object 7, which in turn covers the target, making it an indirect occluder with moderate-to-high relevance (score: 0.70).",True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,3,object_3,3,7,object_7,1.0,0.006067,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,single ancestor; assigned deterministic prior,True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
gpt-4o,original,legacy,all,4,object_4,1,8,object_8,0.85,0.001381021286,1.0,0.0,0.0,1.0,,{},0,0.0,0.0,0.0,0.0,0.0,"Object 5 directly covers the target (object 4), making it the immediate occluder. Object 8 indirectly occludes the target by covering object 5, which is pressing on the target.",True,184,runs_reason_compare/gpt-4o/original/legacy/scene_details/scene_184.csv,legacy,runs_reason_compare/gpt-4o/original/legacy
