scene_key,scene_id,target_id,target_label,is_query_target,annotation,branch,grasp_id,grasp_label,is_terminal,reason,status,cl_success,cl_num_steps,cl_final_status,cl_action_seq
scene_1042/gt,1042,1,object_1,False,the yellow cup on the left,fully_visible,1,object_1,True,"target molmo_id=1 (node_id=0) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,1
scene_1042/gt,1042,2,object_2,False,the yellow cup on the left,fully_visible,2,object_2,True,"target molmo_id=2 (node_id=1) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,2
scene_1042/gt,1042,3,object_3,False,the yellow cup on the left,fully_visible,3,object_3,True,"target molmo_id=3 (node_id=2) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,3
scene_1042/gt,1042,4,object_4,False,the yellow cup on the left,fully_visible,4,object_4,True,"target molmo_id=4 (node_id=3) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,4
scene_1042/gt,1042,5,object_5,False,the yellow cup on the left,partially_occluded,2,object_2,False,"target molmo_id=5 (node_id=4) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 5
scene_1042/gt,1042,6,the yellow cup on the left,True,the yellow cup on the left,fully_visible,6,the yellow cup on the left,True,"target molmo_id=6 (node_id=5) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,6
scene_1042/gt,1042,7,object_7,False,the yellow cup on the left,partially_occluded,2,object_2,False,"target molmo_id=7 (node_id=6) is in graph, occluded by molmo_id=[2]",ok,True,2,target_grasped,2 -> 7
scene_1042/gt,1042,8,object_8,False,the yellow cup on the left,partially_occluded,6,the yellow cup on the left,False,"target molmo_id=8 (node_id=7) is in graph, occluded by molmo_id=[6]",ok,True,2,target_grasped,6 -> 8
scene_1072/gt,1072,1,object_1,False,the blue object among a banana and two other blue objects,partially_occluded,5,object_5,False,"target molmo_id=1 (node_id=0) is in graph, occluded by molmo_id=[2]",ok,True,3,target_grasped,5 -> 2 -> 1
scene_1072/gt,1072,2,object_2,False,the blue object among a banana and two other blue objects,partially_occluded,5,object_5,False,"target molmo_id=2 (node_id=1) is in graph, occluded by molmo_id=[5]",ok,True,2,target_grasped,5 -> 2
scene_1072/gt,1072,3,object_3,False,the blue object among a banana and two other blue objects,partially_occluded,5,object_5,False,"target molmo_id=3 (node_id=2) is in graph, occluded by molmo_id=[5]",ok,True,2,target_grasped,5 -> 3
scene_1072/gt,1072,4,object_4,False,the blue object among a banana and two other blue objects,fully_visible,4,object_4,True,"target molmo_id=4 (node_id=3) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,4
scene_1072/gt,1072,5,object_5,False,the blue object among a banana and two other blue objects,fully_visible,5,object_5,True,"target molmo_id=5 (node_id=4) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,5
scene_1072/gt,1072,6,the blue object among a banana and two other blue objects,True,the blue object among a banana and two other blue objects,fully_visible,6,the blue object among a banana and two other blue objects,True,"target molmo_id=6 (node_id=5) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,6
scene_1072/gt,1072,7,object_7,False,the blue object among a banana and two other blue objects,partially_occluded,5,object_5,False,"target molmo_id=7 (node_id=6) is in graph, occluded by molmo_id=[2]",ok,True,3,target_grasped,5 -> 2 -> 7
scene_1072/gt,1072,8,object_8,False,the blue object among a banana and two other blue objects,fully_visible,8,object_8,True,"target molmo_id=8 (node_id=7) is in graph, in_degree=0 -> on top, no occluder",ok,True,1,target_grasped,8
